"Longitud", "Latitud", "Texto"
2.84591, 41.97713, "INICIO DE RADAR FIJO DE TRAMO"
2.84804, 42.00113, "INICIO DE RADAR FIJO DE TRAMO"
2.98349, 42.24027, "INICIO DE RADAR FIJO DE TRAMO"
2.94790, 42.29193, "INICIO DE RADAR FIJO DE TRAMO"
2.89225, 42.37634, "INICIO DE RADAR FIJO DE TRAMO"
2.88349, 42.39079, "INICIO DE RADAR FIJO DE TRAMO"
0.77737, 42.67263, "INICIO DE RADAR FIJO DE TRAMO"
0.76410, 42.62532, "INICIO DE RADAR FIJO DE TRAMO"
0.59161, 40.64828, "INICIO DE RADAR FIJO DE TRAMO"
0.58302, 40.68706, "INICIO DE RADAR FIJO DE TRAMO"
1.68038, 41.59262, "RADAR FIJO LIMITE 100"
1.77847, 41.57978, "RADAR FIJO LIMITE 100"
1.85925, 41.53767, "RADAR FIJO LIMITE 100"
2.02180, 41.38531, "RADAR FIJO LIMITE 100"
2.02358, 41.38188, "RADAR FIJO LIMITE 100"
2.62867, 42.21515, "RADAR FIJO LIMITE 100"
2.57607, 42.22181, "RADAR FIJO LIMITE 100"
2.51402, 42.19323, "RADAR FIJO LIMITE 100"
2.00960, 41.41775, "RADAR FIJO LIMITE 100"
2.24474, 41.46827, "RADAR FIJO LIMITE 100"
2.02203, 41.39811, "RADAR FIJO LIMITE 100"
1.69012, 41.41958, "RADAR FIJO LIMITE 100"
2.20325, 41.51019, "RADAR FIJO LIMITE 100"
2.24561, 41.95693, "RADAR FIJO LIMITE 100"
2.06692, 41.31192, "RADAR FIJO LIMITE 100"
3.07287, 41.85575, "RADAR FIJO LIMITE 100"
2.83721, 41.80177, "RADAR FIJO LIMITE 100"
2.96049, 41.82749, "RADAR FIJO LIMITE 100"
2.81297, 42.06633, "RADAR FIJO LIMITE 100"
2.81312, 42.06667, "RADAR FIJO LIMITE 100"
1.07652, 41.15468, "RADAR FIJO LIMITE 100"
1.10309, 41.13434, "RADAR FIJO LIMITE 100"
0.45946, 41.53823, "RADAR FIJO LIMITE 120"
0.79044, 41.63657, "RADAR FIJO LIMITE 120"
1.16663, 41.65695, "RADAR FIJO LIMITE 120"
1.29696, 41.66664, "RADAR FIJO LIMITE 120"
1.31316, 41.65517, "RADAR FIJO LIMITE 120"
1.41585, 41.62269, "RADAR FIJO LIMITE 120"
1.99766, 41.42933, "RADAR FIJO LIMITE 120"
2.78438, 41.89296, "RADAR FIJO LIMITE 120"
0.77361, 41.50678, "RADAR FIJO LIMITE 120"
0.87578, 41.47992, "RADAR FIJO LIMITE 120"
0.94596, 41.42547, "RADAR FIJO LIMITE 120"
1.98268, 41.45527, "RADAR FIJO LIMITE 120"
0.81692, 40.90491, "RADAR FIJO LIMITE 120"
0.70415, 40.81291, "RADAR FIJO LIMITE 120"
0.49116, 40.62723, "RADAR FIJO LIMITE 120"
1.14648, 41.20475, "RADAR FIJO LIMITE 120"
1.17357, 41.25502, "RADAR FIJO LIMITE 120"
1.86515, 41.72607, "RADAR FIJO LIMITE 120"
1.86532, 41.72692, "RADAR FIJO LIMITE 120"
1.88954, 41.82321, "RADAR FIJO LIMITE 120"
1.87065, 41.86137, "RADAR FIJO LIMITE 120"
1.87744, 41.93972, "RADAR FIJO LIMITE 120"
1.86583, 42.07578, "RADAR FIJO LIMITE 120"
1.57943, 41.74539, "RADAR FIJO LIMITE 120"
1.76886, 41.73417, "RADAR FIJO LIMITE 120"
1.91010, 41.78649, "RADAR FIJO LIMITE 120"
2.07229, 41.89424, "RADAR FIJO LIMITE 120"
2.71017, 41.87993, "RADAR FIJO LIMITE 120"
1.60560, 41.21064, "RADAR FIJO LIMITE 120"
2.04486, 41.32417, "RADAR FIJO LIMITE 120"
2.29501, 41.48335, "RADAR FIJO LIMITE 120"
1.99948, 41.28665, "RADAR FIJO LIMITE 120"
2.18324, 41.47618, "RADAR FIJO LIMITE 120"
2.14960, 41.49537, "RADAR FIJO LIMITE 120"
2.11305, 41.50529, "RADAR FIJO LIMITE 120"
2.39625, 41.56761, "RADAR FIJO LIMITE 120"
2.39602, 41.56801, "RADAR FIJO LIMITE 120"
2.15694, 41.48683, "RADAR FIJO LIMITE 40"
2.08738, 41.42893, "RADAR FIJO LIMITE 50"
2.20823, 41.57403, "RADAR FIJO LIMITE 50"
1.99418, 41.29146, "RADAR FIJO LIMITE 50"
1.18434, 41.31351, "RADAR FIJO LIMITE 60"
1.99746, 41.40425, "RADAR FIJO LIMITE 60"
2.63445, 41.60472, "RADAR FIJO LIMITE 60"
2.06728, 41.58186, "RADAR FIJO LIMITE 70"
2.28795, 41.65194, "RADAR FIJO LIMITE 70"
0.66059, 41.65889, "RADAR FIJO LIMITE 70"
1.12239, 41.12858, "RADAR FIJO LIMITE 70"
1.17179, 41.69538, "RADAR FIJO LIMITE 70"
1.85698, 41.39413, "RADAR FIJO LIMITE 70"
1.14777, 41.13621, "RADAR FIJO LIMITE 70"
1.27118, 41.15701, "RADAR FIJO LIMITE 70"
2.05452, 41.35425, "RADAR FIJO LIMITE 80"
2.06250, 41.34929, "RADAR FIJO LIMITE 80"
2.11025, 41.34050, "RADAR FIJO LIMITE 80"
2.11025, 41.34050, "RADAR FIJO LIMITE 80"
2.21004, 41.45844, "RADAR FIJO LIMITE 80"
2.07080, 41.37588, "RADAR FIJO LIMITE 80"
2.05435, 41.37338, "RADAR FIJO LIMITE 80"
1.53594, 41.70713, "RADAR FIJO LIMITE 80"
2.27275, 41.71617, "RADAR FIJO LIMITE 80"
2.24385, 41.78498, "RADAR FIJO LIMITE 80"
2.24281, 41.78561, "RADAR FIJO LIMITE 80"
1.56007, 41.20646, "RADAR FIJO LIMITE 80"
2.04064, 41.27230, "RADAR FIJO LIMITE 80"
2.04844, 41.27567, "RADAR FIJO LIMITE 80"
2.09364, 41.33459, "RADAR FIJO LIMITE 80"
3.03429, 41.80835, "RADAR FIJO LIMITE 80"
1.20405, 41.10534, "RADAR FIJO LIMITE 80"
2.01824, 41.29760, "RADAR FIJO LIMITE 80"
2.03136, 41.31141, "RADAR FIJO LIMITE 80"
2.46122, 41.66167, "RADAR FIJO LIMITE 80"
1.88726, 41.54123, "RADAR FIJO LIMITE 80"
1.84881, 41.62018, "RADAR FIJO LIMITE 80"
1.85730, 41.64728, "RADAR FIJO LIMITE 80"
1.84162, 41.69897, "RADAR FIJO LIMITE 80"
1.83566, 41.71127, "RADAR FIJO LIMITE 80"
2.06677, 41.54295, "RADAR FIJO LIMITE 80"
1.96458, 41.56549, "RADAR FIJO LIMITE 80"
1.96043, 41.57727, "RADAR FIJO LIMITE 80"
1.93572, 41.58418, "RADAR FIJO LIMITE 80"
1.92876, 41.58463, "RADAR FIJO LIMITE 80"
2.16653, 41.64066, "RADAR FIJO LIMITE 80"
2.81575, 41.73961, "RADAR FIJO LIMITE 80"
2.81610, 41.74574, "RADAR FIJO LIMITE 80"
2.77749, 41.77859, "RADAR FIJO LIMITE 80"
2.93551, 42.30816, "RADAR FIJO LIMITE 80"
1.24849, 41.25667, "RADAR FIJO LIMITE 80"
1.13207, 41.39297, "RADAR FIJO LIMITE 80"
2.15487, 42.31009, "RADAR FIJO LIMITE 80"
0.88119, 40.97181, "RADAR FIJO LIMITE 80"
0.98779, 41.16492, "RADAR FIJO LIMITE 80"
2.34490, 41.48503, "RADAR FIJO LIMITE 80"
2.40922, 41.51240, "RADAR FIJO LIMITE 80"
1.09633, 41.12408, "RADAR FIJO LIMITE 80"
2.08929, 41.58966, "RADAR FIJO LIMITE 90"
2.14503, 41.53222, "RADAR FIJO LIMITE 90"
2.23219, 41.63537, "RADAR FIJO LIMITE 90"
1.77161, 41.24895, "RADAR FIJO LIMITE 90"
2.19378, 41.48763, "RADAR FIJO LIMITE 90"
2.21450, 41.51470, "RADAR FIJO LIMITE 90"
0.50340, 40.78241, "RADAR FIJO LIMITE 90"
0.51444, 40.84038, "RADAR FIJO LIMITE 90"
0.48940, 40.91416, "RADAR FIJO LIMITE 90"
0.64122, 41.11140, "RADAR FIJO LIMITE 90"
0.57709, 41.45679, "RADAR FIJO LIMITE 90"
0.64755, 41.63845, "RADAR FIJO LIMITE 90"
0.81305, 41.76356, "RADAR FIJO LIMITE 90"
0.90726, 42.18680, "RADAR FIJO LIMITE 90"
1.22044, 41.91814, "RADAR FIJO LIMITE 90"
1.30726, 42.14805, "RADAR FIJO LIMITE 90"
1.32774, 42.20465, "RADAR FIJO LIMITE 90"
1.36258, 41.83088, "RADAR FIJO LIMITE 90"
1.52344, 41.71936, "RADAR FIJO LIMITE 90"
1.52216, 41.62878, "RADAR FIJO LIMITE 90"
2.00179, 41.43485, "RADAR FIJO LIMITE 90"
2.25179, 41.58744, "RADAR FIJO LIMITE 90"
1.87252, 42.22255, "RADAR FIJO LIMITE 90"
1.67762, 41.45638, "RADAR FIJO LIMITE 90"
2.33579, 41.63431, "RADAR FIJO LIMITE 90"
2.41646, 41.64890, "RADAR FIJO LIMITE 90"
0.64371, 41.81193, "RADAR FIJO LIMITE 90"
0.86339, 41.81014, "RADAR FIJO LIMITE 90"
1.37219, 42.02397, "RADAR FIJO LIMITE 90"
3.16143, 41.93861, "RADAR FIJO LIMITE 90"
3.01732, 42.21872, "RADAR FIJO LIMITE 90"
3.06742, 42.13895, "RADAR FIJO LIMITE 90"
2.25332, 41.57146, "RADAR FIJO LIMITE 90"
2.63225, 41.74640, "RADAR FIJO LIMITE 90"
1.21364, 41.26873, "RADAR FIJO LIMITE 90"
1.65788, 41.62373, "RADAR FIJO LIMITE 90"
2.34334, 42.25358, "RADAR FIJO LIMITE 90"
0.91469, 41.75448, "RADAR FIJO LIMITE 90"
1.78870, 41.77199, "RADAR FIJO LIMITE 90"
1.71396, 41.87303, "RADAR FIJO LIMITE 90"
1.62132, 41.93440, "RADAR FIJO LIMITE 90"
1.91561, 41.58766, "RADAR FIJO LIMITE 90"
2.17975, 41.60605, "RADAR FIJO LIMITE 90"
2.16505, 41.67056, "RADAR FIJO LIMITE 90"
2.10241, 41.79972, "RADAR FIJO LIMITE 90"
2.70190, 41.83841, "RADAR FIJO LIMITE 90"
2.85246, 41.90974, "RADAR FIJO LIMITE 90"
3.08888, 41.95183, "RADAR FIJO LIMITE 90"
2.74245, 42.18155, "RADAR FIJO LIMITE 90"
2.71106, 41.71862, "RADAR FIJO LIMITE 90"
2.54360, 41.79909, "RADAR FIJO LIMITE 90"
2.97447, 42.12885, "RADAR FIJO LIMITE 90"
2.76560, 41.67425, "RADAR FIJO LIMITE 90"
2.90474, 41.71983, "RADAR FIJO LIMITE 90"
0.88576, 41.61501, "RADAR FIJO LIMITE 90"
1.23605, 41.75253, "RADAR FIJO LIMITE 90"
2.72539, 41.96779, "RADAR FIJO LIMITE 90"
2.05221, 41.55448, "RADAR FIJO LIMITE 90"
2.75063, 41.74607, "RADAR FIJO LIMITE 90"
2.90333, 42.13254, "RADAR FIJO LIMITE 90"
0.56893, 41.83857, "RADAR FIJO LIMITE 90"
0.71099, 42.46037, "RADAR FIJO LIMITE 90"
0.73306, 42.84593, "RADAR FIJO LIMITE 90"
0.98613, 41.42530, "RADAR FIJO LIMITE 90"
0.83519, 41.53755, "RADAR FIJO LIMITE 90"
0.75348, 41.57805, "RADAR FIJO LIMITE 90"
0.40929, 41.75626, "RADAR FIJO LIMITE 90"
3.07510, 42.32686, "RADAR FIJO LIMITE 90"
2.82626, 42.22180, "RADAR FIJO LIMITE 90"
1.74771, 42.37323, "RADAR FIJO LIMITE 90"
1.64798, 42.36619, "RADAR FIJO LIMITE 90"
1.40445, 42.32967, "RADAR FIJO LIMITE 90"
0.56036, 40.59931, "RADAR FIJO LIMITE 90"
0.59360, 40.73027, "RADAR FIJO LIMITE 90"
0.65995, 40.77524, "RADAR FIJO LIMITE 90"
0.71605, 40.86926, "RADAR FIJO LIMITE 90"
0.98912, 41.04508, "RADAR FIJO LIMITE 90"
1.39244, 41.15864, "RADAR FIJO LIMITE 90"
1.61123, 41.27629, "RADAR FIJO LIMITE 90"
1.66487, 41.33286, "RADAR FIJO LIMITE 90"
0.65677, 41.09691, "RADAR FIJO LIMITE 90"
0.94754, 41.17199, "RADAR FIJO LIMITE 90"
0.52951, 41.60296, "RADAR FIJO LIMITE 90"
2.46313, 41.54397, "RADAR FIJO LIMITE 90"
2.56279, 41.58076, "RADAR FIJO LIMITE 90"
1.07786, 41.14359, "RADAR FIJO LIMITE 90"
1.01252, 41.12382, "RADAR FIJO LIMITE 90"
1.55233, 41.26432, "RADAR FIJO LIMITE 90"
